Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 Acura TLX A-Spec,"$50,595 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 5 mi. 
2019 Acura MDX 3.5L,"$31,995 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC," 38,261 mi. "
2021 Ford Bronco Sport Badlands,"$34,988 ", Four-wheel Drive ,Gasoline ,Automatic,"EcoBoost 2L I-4 gasoline direct injection, DOHC, DEVCT variable"," 18,648 mi. "
2006 Porsche 911 Carrera Cabriolet,"$34,988 ", Rear-wheel Drive ,Gasoline ,Automatic,"3.8L H-6 DOHC, VarioCam Plus variable valve control, engine with"," 101,002 mi. "
2018 BMW X3 M40i,"$33,937 ", All-wheel Drive ,Gasoline ,Automatic,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va"," 72,202 mi. "
2020 Volvo XC90 T6 Momentum,"$44,450 ", All-wheel Drive ,Gasoline ,Automatic,"Drive-E 2L I-4 gasoline direct injection, DOHC, variable valve c"," 16,015 mi. "
2016 Volkswagen e-Golf SE,"$14,381 ", Front-wheel Drive ,Automatic,Electric Motor, WVWKP7AU0GW901374 ,"

Heated SeatsKeyless Start

"
2017 Jaguar F-PACE 35t R-Sport,"$27,466 ", All-wheel Drive ,Gasoline ,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,"," 94,566 mi. "
2022 RAM 1500 Big Horn,"$59,017 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV, – 
2023 Dodge Charger Scat Pack,"$58,306 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV, – 
2023 Dodge Charger SXT,"$34,325 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, – 
2023 Dodge Charger Scat Pack,"$59,900 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV, – 
2023 Chevrolet Silverado 2500 High Country,"$83,360 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel, 2 mi. 
2022 Dodge Charger GT,"$32,073 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 9 mi. 
2023 Toyota Tundra Platinum,"$66,356 ", Four-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 1 mi. 
2023 Toyota Tundra Limited,"$60,401 ", Four-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 3 mi. 
2016 Audi A3 2.0T Premium,"$19,995 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo," 51,385 mi. "
2023 Volvo XC60 B5 Ultimate Bright Theme,"$54,901 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 11 mi. 
2023 Volvo XC60 B5 Ultimate Dark Theme,"$54,804 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 3 mi. 
2023 Volvo XC90 B6 Ultimate 6-Seater,"$72,869 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 3 mi. 
2023 Volvo XC60 B5 Plus Dark Theme,"$50,370 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 6 mi. 
2023 Volvo XC90 B6 Plus 6-Seater,"$61,425 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 20 mi. 
2023 Volvo XC90 B6 Ultimate 6-Seater,"$69,755 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 3 mi. 
2023 Volvo XC60 B5 Ultimate Dark Theme,"$55,251 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 11 mi. 
2023 Volvo XC90 Recharge Plug-In Hybrid T8 Plus Dark Theme 7 Passenger,"$74,795 ", All-wheel Drive ,Hybrid ,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid, 10 mi. 
2023 Volvo XC90 B5 Plus,"$57,954 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 6 mi. 
2022 Jeep Wrangler Unlimited Rubicon,"$54,678 ", Four-wheel Drive ,Diesel ,Automatic,Intercooled Turbo Diesel V-6 3.0 L/182," 12,659 mi. "
2020 Honda CR-V Hybrid Touring,"$31,743 ", All-wheel Drive ,Hybrid ,Variable,Gas/Electric I-4 2.0 L/122," 56,701 mi. "
2015 Lincoln MKX Base,"$15,795 ", All-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.7 L/227," 82,918 mi. "
2021 Hyundai Kona SEL Plus,"$24,595 ", All-wheel Drive ,Gasoline ,Automatic,Regular Unleaded I-4 2.0 L/122," 14,847 mi. "
2021 Toyota Tacoma SR5,"$32,695 ", Rear-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211," 36,114 mi. "
2021 Audi A6 Prestige,"$48,995 ", All-wheel Drive ,Hybrid ,Automatic,Intercooled Turbo Gas/Electric V-6 3.0 L/183," 20,664 mi. "
2011 Honda CR-Z EX,"$12,164 ", Front-wheel Drive ,Hybrid ,Variable,Gas/Electric I4 1.5L/91," 30,974 mi. "
2020 Honda Pilot Elite,"$38,648 ", All-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212," 28,271 mi. "
2020 Honda Odyssey Touring,"$38,894 ", Front-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212," 8,378 mi. "
2021 Honda Ridgeline RTL,"$34,527 ", All-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212," 13,111 mi. "
2019 Honda Odyssey LX,"$29,867 ", Front-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212," 2,417 mi. "
2015 Audi A6 2.0T Premium,"$17,647 ", All-wheel Drive ,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121," 85,983 mi. "
2020 Honda Odyssey EX-L,"$34,599 ", Front-wheel Drive ,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212," 26,511 mi. "
2018 MINI Hardtop Cooper S,"$21,797 ", Front-wheel Drive ,Gasoline ,Manual,Intercooled Turbo Premium Unleaded I-4 2.0 L/122," 37,084 mi. "
2022 Ford F-150 XLT,"$52,735 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 22 mi. 
2019 Cadillac Escalade Luxury,"$46,971 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV," 70,150 mi. "
2020 Jeep Grand Cherokee Limited,"$32,750 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 37,161 mi. "
2019 Audi A3 2.0T Premium,"$27,803 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 22,724 mi. "
2023 Chevrolet Equinox 1LT,"$31,250 ", Front-wheel Drive ,Gasoline ,6-Speed Electronically Controlled Automatic with O,1.5L I4 16V GDI DOHC Turbo, 1 mi. 
2023 Chevrolet Equinox RS,"$34,215 ", Front-wheel Drive ,Gasoline ,6-Speed Electronically Controlled Automatic with O,1.5L I4 16V GDI DOHC Turbo, 4 mi. 
2023 Nissan ARIYA ENGAGE,"$44,735 ", Front-wheel Drive ,Automatic,Electric, JN1AF0BA4PM405809 ,"

Heated SeatsHeated Steering WheelNavigation System

"
2023 Nissan ARIYA EVOLVE+,"$52,570 ", Front-wheel Drive ,Automatic CVT,Electric, JN1BF0BA7PM404772 ,"

Heated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2023 Toyota Tundra SR5,"$57,864 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 3 mi. 
2021 Tesla Model Y Long Range,"$46,050 ", All-wheel Drive ,1-Speed Automatic,Electric, 5YJYGDEE9MF106867 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation SystemPower Liftgate

"
2024 Subaru Crosstrek Premium,"$30,887 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.0L, 0 mi. 
2017 GMC Yukon Denali,"$43,371 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV," 63,782 mi. "
2019 Mazda CX-5 Grand Touring,"$25,994 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC," 53,254 mi. "
2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,"$47,694 ", Four-wheel Drive ,Gasoline ,Automatic,V6," 57,914 mi. "
2016 Audi A3 2.0T Premium,"$18,694 ", All-wheel Drive ,Gasoline ,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 61,364 mi. "
2020 Lexus RX 350 Base,"$44,994 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 24,118 mi. "
2020 Lexus RX 350 Base,"$38,794 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 78,168 mi. "
2023 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"$45,706 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC, 15 mi. 
2023 Dodge Durango SRT Hellcat,"$95,725 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,6.2L V8 Supercharged, 0 mi. 
2018 Jeep Grand Cherokee Overland,"$28,995 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 123,349 mi. "
2013 Jeep Wrangler Sport,"$17,077 ", Four-wheel Drive ,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC," 82,135 mi. "
2023 Toyota Tundra 1794,"$69,581 ", Four-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 5 mi. 
2023 Dodge Challenger SRT Hellcat,"$92,442 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged, 7 mi. 
2023 Chevrolet Tahoe High Country,"$84,500 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,6.2L V8 16V GDI OHV, 10 mi. 
2023 Chevrolet Suburban RST,"$75,570 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV, 2 mi. 
2016 Nissan Altima 2.5 SL,"$16,470 ", Front-wheel Drive ,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC," 69,729 mi. "
2014 Chevrolet Cruze Diesel,"$13,170 ", Front-wheel Drive ,Diesel ,6-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel," 70,658 mi. "
2018 BMW 330 Gran Turismo i xDrive,"$23,070 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 56,565 mi. "
2014 Land Rover LR2 Base,"$14,570 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 73,773 mi. "
2015 Lexus RX 350 Base,"$26,270 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC," 46,067 mi. "
2006 Mercedes-Benz CLK-Class CLK500,"$17,588 ", Rear-wheel Drive ,Gasoline ,7-Speed Automatic,5.0L V8 24V MPFI SOHC," 65,978 mi. "
2015 Chevrolet Tahoe Police,"$19,795 ", Rear-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,5.3L V8 16V GDI OHV Flexible Fuel," 98,860 mi. "
2019 Porsche Macan Base,"$39,000 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 47,248 mi. "
2023 Cadillac CT4-V V-Series Blackwing,"$76,005 ", Rear-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V GDI DOHC Twin Turbo, 11 mi. 
2023 Cadillac XT4 Premium Luxury,"$49,015 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 43 mi. 
2023 Cadillac XT5 Luxury,"$46,215 ", Front-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 1 mi. 
2019 Honda CR-V LX,"$23,733 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC," 32,067 mi. "
2019 Honda Ridgeline Black Edition,"$34,499 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC," 50,144 mi. "
2023 Nissan Titan PRO-4X,"$58,809 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 6 mi. 
2020 BMW 330 i xDrive,"$34,899 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 28,870 mi. "
2022 Jeep Grand Cherokee 4xe Base,"$49,522 ", Four-wheel Drive ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid, 7 mi. 
2023 Jeep Grand Cherokee Limited,"$48,035 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 2,000 mi. "
2022 Jeep Grand Cherokee 4xe Base,"$50,872 ", Four-wheel Drive ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid," 2,989 mi. "
2023 Chrysler Pacifica Limited,"$49,245 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V MPFI DOHC, 5 mi. 
2023 Dodge Charger Scat Pack,"$77,795 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV, 6 mi. 
2022 Jeep Cherokee Trailhawk,"$31,745 ", Four-wheel Drive ,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC, 3 mi. 
2020 GMC Acadia Denali,"$41,998 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC," 15,158 mi. "
2019 Ford Fusion SE,"$18,599 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo," 55,554 mi. "
2022 Volkswagen ID.4 Pro S,"$46,193 ", Rear-wheel Drive ,1-Speed Automatic,Electric, WVGTMPE20NP074937 ,"

Heated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2021 Audi Q8 55 Premium,"$55,599 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo," 28,960 mi. "
2023 Subaru Outback Limited,"$36,613 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC, 6 mi. 
2021 Acura RDX Technology Package,"$38,500 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 20,955 mi. "
2023 Acura MDX Technology,"$53,079 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC," 2,122 mi. "
2022 Acura RDX A-Spec,"$46,176 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 6,639 mi. "
2023 Toyota Tundra Platinum,"$68,912 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 5 mi. 
2023 Maserati Levante GT,"$92,595 ", All-wheel Drive ,Gasoline ,Automatic,3.0L V6 24V GDI DOHC Twin Turbo, 20 mi. 
2023 Toyota Corolla Cross L,"$26,303 ", AWD ,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC, 0 mi. 
2023 Toyota Tundra Limited,"$59,452 ", 4WD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2023 Toyota Tundra SR,"$41,082 ", RWD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2023 Toyota Tundra SR5,"$52,433 ", 4WD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2011 Porsche 911 Turbo,"$104,999 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo," 26,393 mi. "
2020 Land Rover Discovery Landmark Edition,"$48,437 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged," 18,310 mi. "
2022 Land Rover Discovery Sport SE,"$39,301 ", Four-wheel Drive ,Gasoline ,Automatic,I4," 13,907 mi. "
2019 Land Rover Range Rover Sport 3.0L Supercharged HSE,"$56,807 ", Four-wheel Drive ,Gasoline ,Automatic,V6," 24,186 mi. "
2023 Ford Transit Connect XLT,"$42,215 ", Front-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC, 5 mi. 
2022 Chevrolet Tahoe Z71,"$66,180 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 27,897 mi. "
2023 Honda Accord LX,"$28,845 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.5L, 8 mi. 
2017 Toyota Tacoma TRD Off Road,"$34,429 ", Four-wheel Drive ,Gasoline ,Automatic,"3.5L V-6 port/direct injection, DOHC, VVT-iE variable valve cont"," 58,090 mi. "
2023 Hyundai Kona N Line,"$30,953 ", All-wheel Drive ,Gasoline ,Automatic,1.6L I4 16V GDI DOHC Turbo, 11 mi. 
2022 Lincoln Corsair Reserve,"$51,405 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 17 mi. 
2023 Genesis G90 3.5T,"$87,155 ", All-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 19 mi. 
2023 Genesis G70 3.3T,"$56,235 ", All-wheel Drive ,Gasoline ,Automatic,3.3L V6 24V GDI DOHC Twin Turbo, 9 mi. 
2023 Toyota bZ4X Limited,"$51,670 ", All-wheel Drive ,Automatic,Electric, JTMABACA0PA014347 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation SystemPower Liftgate

"
2023 Toyota Tundra Limited,"$59,903 ", 4WD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2022 Toyota Camry XSE,"$37,888 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC," 2,228 mi. "
2017 Audi Q3 2.0T Prestige,"$19,988 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 78,170 mi. "
2021 Lexus RX 350 Base,"$46,388 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 22,221 mi. "
2023 Toyota Tundra SR5,"$54,604 ", 4WD ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2023 Toyota Tundra Platinum,"$68,912 ", Four-wheel Drive ,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 3 mi. 
2023 Toyota bZ4X Limited,"$52,483 ", All-wheel Drive ,Automatic,Electric, JTMABACAXPA021256 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation SystemPower Liftgate

"
2021 GMC Yukon SLT,"$52,880 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 77,096 mi. "
2017 BMW 750 i xDrive,"$37,994 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 52,750 mi. "
2014 GMC Sierra 2500 SLT,"$34,899 ", Four-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,6.0L V8 16V MPFI OHV Flexible Fuel," 62,705 mi. "
2022 GMC Sierra 1500 Elevation,"$49,498 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo, 224 mi. 
2021 Ford Bronco Sport Outer Banks,"$31,929 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo," 13,339 mi. "
2020 GMC Acadia Denali,"$35,698 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC," 44,533 mi. "
2020 Kia Sorento LX,"$23,915 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 56,808 mi. "
2019 Chevrolet Blazer 2LT,"$27,889 ", Front-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC," 21,843 mi. "
2021 Chevrolet Tahoe LT,"$49,493 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV," 87,565 mi. "
2020 Jeep Grand Cherokee Summit,"$39,523 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV," 56,479 mi. "
2020 Chevrolet Equinox LS,"$20,919 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo," 29,179 mi. "
2022 Ford F-150 Lariat,"$66,815 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 7 mi. 
2022 Ford F-150 WALDOCH RAMPAGE,"$74,946 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, – 
2022 BMW 750 i xDrive,"$123,645 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 2,848 mi. "
2023 Lexus LS 500 F Sport,"$91,280 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo, – 
2022 Ford Mustang EcoBoost Premium,"$47,995 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 0 mi. 
2022 Chevrolet Silverado 1500 Limited RST,"$59,477 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV, 8 mi. 
2023 Acura MDX A-Spec,"$52,995 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC," 2,077 mi. "
2022 Mazda MX-30 Premium Plus,"$26,997 ", Front-wheel Drive ,1-Speed Automatic,Electric, JM1DRADBXN0100476 ,"

Heated SeatsHeated Steering WheelNavigation System

"
2023 Kia Stinger GT-Line,"$35,297 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V GDI DOHC Turbo," 7,405 mi. "
2023 Acura MDX Base,"$46,495 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC," 6,641 mi. "
2023 Acura MDX Advance,"$55,990 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC," 1,787 mi. "
2019 Ford F-150 XLT,"$33,895 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo," 44,611 mi. "
2005 Honda CR-V EX,"$8,990 ", Four-wheel Drive ,Gasoline ,Automatic,"2.4L I-4 DOHC, i-VTEC variable valve control, engine with 160HP"," 97,205 mi. "
2023 Toyota Tacoma Limited,"$48,998 ", 4WD ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC, 3 mi. 
2021 Toyota Sienna LE,"$38,043 ", Front-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 40,387 mi. "
