Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2006 Porsche 911 Carrera Cabriolet,34988,Rear-wheel Drive,Gasoline,Automatic,3.8L H-6 DOHC VarioCam Plus variable valve control engine with,101002
2018 BMW X3 M40i,33937,All-wheel Drive,Gasoline,Automatic,3L I-6 gasoline direct injection DOHC Double VANOS variable va,72202
2020 Volvo XC90 T6 Momentum,44450,All-wheel Drive,Gasoline,Automatic,Drive-E 2L I-4 gasoline direct injection DOHC variable valve c,16015
2016 Volkswagen e-Golf SE,14381,Front-wheel Drive,Automatic,Electric Motor,NoInfo,
2017 Jaguar F-PACE 35t R-Sport,27466,All-wheel Drive,Gasoline,Automatic,3L V-6 gasoline direct injection DOHC variable valve control,94566
2022 RAM 1500 Big Horn,59017,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,
2023 Dodge Charger Scat Pack,58306,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,
2023 Dodge Charger SXT,34325,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,
2023 Dodge Charger Scat Pack,59900,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,
2023 Chevrolet Silverado 2500 High Country,83360,Four-wheel Drive,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,2
2022 Dodge Charger GT,32073,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,9
2023 Toyota Tundra Platinum,66356,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1
2023 Toyota Tundra Limited,60401,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,3
2016 Audi A3 2.0T Premium,19995,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,51385
2023 Volvo XC60 B5 Ultimate Bright Theme,54901,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,11
2023 Volvo XC60 B5 Ultimate Dark Theme,54804,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,3
2023 Volvo XC90 B6 Ultimate 6-Seater,72869,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,3
2023 Volvo XC60 B5 Plus Dark Theme,50370,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,6
2023 Volvo XC90 B6 Plus 6-Seater,61425,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,20
2023 Volvo XC90 B6 Ultimate 6-Seater,69755,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,3
2023 Volvo XC60 B5 Ultimate Dark Theme,55251,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,11
2023 Volvo XC90 Recharge Plug-In Hybrid T8 Plus Dark Theme 7 Passenger,74795,All-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,10
2023 Volvo XC90 B5 Plus,57954,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,6
2022 Jeep Wrangler Unlimited Rubicon,54678,Four-wheel Drive,Diesel,Automatic,Intercooled Turbo Diesel V-6 3.0 L182,12659
2020 Honda CR-V Hybrid Touring,31743,All-wheel Drive,Hybrid,Variable,GasElectric I-4 2.0 L122,56701
2015 Lincoln MKX Base,15795,All-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.7 L227,82918
2021 Hyundai Kona SEL Plus,24595,All-wheel Drive,Gasoline,Automatic,Regular Unleaded I-4 2.0 L122,14847
2021 Toyota Tacoma SR5,32695,Rear-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L211,36114
2021 Audi A6 Prestige,48995,All-wheel Drive,Hybrid,Automatic,Intercooled Turbo GasElectric V-6 3.0 L183,20664
2011 Honda CR-Z EX,12164,Front-wheel Drive,Hybrid,Variable,GasElectric I4 1.5L91,30974
2020 Honda Pilot Elite,38648,All-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L212,28271
2020 Honda Odyssey Touring,38894,Front-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L212,8378
2021 Honda Ridgeline RTL,34527,All-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L212,13111
2019 Honda Odyssey LX,29867,Front-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L212,2417
2015 Audi A6 2.0T Premium,17647,All-wheel Drive,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L121,85983
2020 Honda Odyssey EX-L,34599,Front-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L212,26511
2018 MINI Hardtop Cooper S,21797,Front-wheel Drive,Gasoline,Manual,Intercooled Turbo Premium Unleaded I-4 2.0 L122,37084
2022 Ford F-150 XLT,52735,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,22
2019 Cadillac Escalade Luxury,46971,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,70150
2020 Jeep Grand Cherokee Limited,32750,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,37161
2019 Audi A3 2.0T Premium,27803,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,22724
2023 Chevrolet Equinox 1LT,31250,Front-wheel Drive,Gasoline,6-Speed Electronically Controlled Automatic with O,1.5L I4 16V GDI DOHC Turbo,1
2023 Chevrolet Equinox RS,34215,Front-wheel Drive,Gasoline,6-Speed Electronically Controlled Automatic with O,1.5L I4 16V GDI DOHC Turbo,4
2023 Nissan ARIYA ENGAGE,44735,Front-wheel Drive,Automatic,Electric,NoInfo,
2023 Nissan ARIYA EVOLVE,52570,Front-wheel Drive,Automatic CVT,Electric,NoInfo,
2023 Toyota Tundra SR5,57864,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,3
2021 Tesla Model Y Long Range,46050,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2024 Subaru Crosstrek Premium,30887,All-wheel Drive,Gasoline,Automatic CVT,NoInfo,0
2017 GMC Yukon Denali,43371,Four-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,63782
2019 Mazda CX-5 Grand Touring,25994,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,53254
2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,47694,Four-wheel Drive,Gasoline,Automatic,NoInfo,57914
2016 Audi A3 2.0T Premium,18694,All-wheel Drive,Gasoline,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,61364
2020 Lexus RX 350 Base,44994,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,24118
2020 Lexus RX 350 Base,38794,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,78168
2023 Volkswagen Atlas Cross Sport 3.6L V6 SE wTechnology,45706,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,15
2023 Dodge Durango SRT Hellcat,95725,All-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 Supercharged,0
2018 Jeep Grand Cherokee Overland,28995,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,123349
2013 Jeep Wrangler Sport,17077,Four-wheel Drive,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,82135
2023 Toyota Tundra 1794,69581,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5
2023 Dodge Challenger SRT Hellcat,92442,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,7
2023 Chevrolet Tahoe High Country,84500,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,6.2L V8 16V GDI OHV,10
2023 Chevrolet Suburban RST,75570,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,2
2016 Nissan Altima 2.5 SL,16470,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,69729
2014 Chevrolet Cruze Diesel,13170,Front-wheel Drive,Diesel,6-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,70658
2018 BMW 330 Gran Turismo i xDrive,23070,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,56565
2014 Land Rover LR2 Base,14570,Four-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,73773
2015 Lexus RX 350 Base,26270,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,46067
2006 Mercedes-Benz CLK-Class CLK500,17588,Rear-wheel Drive,Gasoline,7-Speed Automatic,5.0L V8 24V MPFI SOHC,65978
2015 Chevrolet Tahoe Police,19795,Rear-wheel Drive,E85 Flex Fuel,6-Speed Automatic,5.3L V8 16V GDI OHV Flexible Fuel,98860
2019 Porsche Macan Base,39000,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,47248
2023 Cadillac CT4-V V-Series Blackwing,76005,Rear-wheel Drive,Gasoline,Automatic,3.6L V6 24V GDI DOHC Twin Turbo,11
2023 Cadillac XT4 Premium Luxury,49015,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,43
2023 Cadillac XT5 Luxury,46215,Front-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,1
2019 Honda CR-V LX,23733,All-wheel Drive,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,32067
2019 Honda Ridgeline Black Edition,34499,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,50144
2023 Nissan Titan PRO-4X,58809,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,6
2020 BMW 330 i xDrive,34899,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,28870
2022 Jeep Grand Cherokee 4xe Base,49522,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,7
2023 Jeep Grand Cherokee Limited,48035,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2000
2022 Jeep Grand Cherokee 4xe Base,50872,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,2989
2023 Chrysler Pacifica Limited,49245,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,5
2023 Dodge Charger Scat Pack,77795,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,6
2022 Jeep Cherokee Trailhawk,31745,Four-wheel Drive,Gasoline,9-Speed Automatic,3.2L V6 24V MPFI DOHC,3
2020 GMC Acadia Denali,41998,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,15158
2019 Ford Fusion SE,18599,Front-wheel Drive,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,55554
2022 Volkswagen ID.4 Pro S,46193,Rear-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2021 Audi Q8 55 Premium,55599,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,28960
2023 Subaru Outback Limited,36613,All-wheel Drive,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,6
2021 Acura RDX Technology Package,38500,All-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,20955
2023 Acura MDX Technology,53079,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,2122
2022 Acura RDX A-Spec,46176,All-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,6639
2023 Toyota Tundra Platinum,68912,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5
2023 Maserati Levante GT,92595,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,20
2023 Toyota Corolla Cross L,26303,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,0
2023 Toyota Tundra Limited,59452,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2023 Toyota Tundra SR,41082,NoInfo,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2023 Toyota Tundra SR5,52433,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2011 Porsche 911 Turbo,104999,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,26393
2020 Land Rover Discovery Landmark Edition,48437,Four-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,18310
2022 Land Rover Discovery Sport SE,39301,Four-wheel Drive,Gasoline,Automatic,NoInfo,13907
2019 Land Rover Range Rover Sport 3.0L Supercharged HSE,56807,Four-wheel Drive,Gasoline,Automatic,NoInfo,24186
2023 Ford Transit Connect XLT,42215,Front-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC,5
2022 Chevrolet Tahoe Z71,66180,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,27897
2023 Honda Accord LX,28845,Front-wheel Drive,Gasoline,Automatic CVT,NoInfo,8
2017 Toyota Tacoma TRD Off Road,34429,Four-wheel Drive,Gasoline,Automatic,3.5L V-6 portdirect injection DOHC VVT-iE variable valve cont,58090
2023 Hyundai Kona N Line,30953,All-wheel Drive,Gasoline,Automatic,1.6L I4 16V GDI DOHC Turbo,11
2022 Lincoln Corsair Reserve,51405,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,17
2023 Genesis G90 3.5T,87155,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,19
2023 Genesis G70 3.3T,56235,All-wheel Drive,Gasoline,Automatic,3.3L V6 24V GDI DOHC Twin Turbo,9
2023 Toyota bZ4X Limited,51670,All-wheel Drive,Automatic,Electric,NoInfo,
2023 Toyota Tundra Limited,59903,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2022 Toyota Camry XSE,37888,All-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2228
2017 Audi Q3 2.0T Prestige,19988,All-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,78170
2021 Lexus RX 350 Base,46388,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,22221
2023 Toyota Tundra SR5,54604,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2023 Toyota Tundra Platinum,68912,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,3
2023 Toyota bZ4X Limited,52483,All-wheel Drive,Automatic,Electric,NoInfo,
2021 GMC Yukon SLT,52880,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,77096
2017 BMW 750 i xDrive,37994,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,52750
2014 GMC Sierra 2500 SLT,34899,Four-wheel Drive,E85 Flex Fuel,6-Speed Automatic,6.0L V8 16V MPFI OHV Flexible Fuel,62705
2022 GMC Sierra 1500 Elevation,49498,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,224
2021 Ford Bronco Sport Outer Banks,31929,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,13339
2020 GMC Acadia Denali,35698,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,44533
2020 Kia Sorento LX,23915,All-wheel Drive,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,56808
2019 Chevrolet Blazer 2LT,27889,Front-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,21843
2021 Chevrolet Tahoe LT,49493,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,87565
2020 Jeep Grand Cherokee Summit,39523,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,56479
2020 Chevrolet Equinox LS,20919,Front-wheel Drive,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,29179
2022 Ford F-150 Lariat,66815,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,7
2022 Ford F-150 WALDOCH RAMPAGE,74946,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,
2022 BMW 750 i xDrive,123645,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,2848
2023 Lexus LS 500 F Sport,91280,All-wheel Drive,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,
2022 Ford Mustang EcoBoost Premium,47995,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,0
2022 Chevrolet Silverado 1500 Limited RST,59477,Four-wheel Drive,Gasoline,8-Speed Automatic,5.3L V8 16V GDI OHV,8
2023 Acura MDX A-Spec,52995,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,2077
2022 Mazda MX-30 Premium Plus,26997,Front-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Kia Stinger GT-Line,35297,All-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,7405
2023 Acura MDX Base,46495,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,6641
2023 Acura MDX Advance,55990,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,1787
2019 Ford F-150 XLT,33895,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,44611
2005 Honda CR-V EX,8990,Four-wheel Drive,Gasoline,Automatic,2.4L I-4 DOHC i-VTEC variable valve control engine with 160HP,97205
2023 Toyota Tacoma Limited,48998,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3
2021 Toyota Sienna LE,38043,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,40387
2019 Toyota Tacoma TRD Off Road,35678,Four-wheel Drive,Gasoline,6-Speed Manual,3.5L V6 24V PDI DOHC,72805
2023 Toyota Tundra Limited,60121,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,21
2023 Toyota Tundra SR5,51999,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,30
2017 Toyota Corolla XLE,15962,Front-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,109730
2023 Toyota Corolla Hybrid LE,29293,Front-wheel Drive,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,2
2023 Toyota Tundra SR5,51999,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,3
2023 Toyota Crown Limited,42811,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2023 Toyota Tundra SR5,52999,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,3
2023 Lexus RX 350h Premium Plus,62125,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2023 Lexus RX 350h Premium,55235,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2023 Lexus RX 350h Premium Plus,61835,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2023 Lexus RX 350h Luxury,67125,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2023 BMW i4 Gran Coupe eDrive40,62370,Rear-wheel Drive,Automatic,Electric,NoInfo,
2024 BMW X7 xDrive40i,89345,All-wheel Drive,Gasoline,Automatic,NoInfo,10
2023 BMW X6 xDrive40i,82120,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,1073
2024 BMW X5 M60I,105745,All-wheel Drive,Gasoline,Automatic,NoInfo,7
2023 BMW M550 i xDrive,89845,All-wheel Drive,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,10
2023 BMW X3 xDrive30i,56825,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,10
2023 BMW M550 i xDrive,85330,All-wheel Drive,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,10
2023 INFINITI QX80 PREMIUM SELECT,77485,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,5
2023 INFINITI Q50 LUXE,45958,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5
2020 Honda Accord EX-L 1.5T,27885,Front-wheel Drive,Gasoline,CVT,1.5L I-4 gasoline direct injection DOHC i-VTEC variable valve,25220
2023 Audi SQ5 3.0T Premium Plus,68230,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,16
2023 Audi A5 45 S line Premium Plus,55665,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,25
2023 Audi Q3 45 S line Premium Plus,49585,All-wheel Drive,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,10
2023 Audi Q4 e-tron 50 Premium Plus,63275,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Audi A6 55 Premium Plus,66540,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,9
2023 Audi SQ5 3.0T Premium,61025,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,8
2023 Audi Q8 55 Premium Plus,83905,All-wheel Drive,Gasoline,Automatic with Tiptronic,3.0L V6 24V GDI DOHC Turbo,25
2023 Audi A4 45 S line Premium Plus,50660,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,4
2022 Mercedes-Benz A-Class A 220 4MATIC,45790,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,3335
2023 Mercedes-Benz CLA 250 Base 4MATIC,49250,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,4659
2023 Mercedes-Benz CLA 250 Base 4MATIC,47460,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,1899
2023 Mercedes-Benz AMG EQS Base,160305,All-wheel Drive,Automatic,Electric,NoInfo,
2023 Mercedes-Benz E-Class E 450 4MATIC,84655,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,7
2022 Mercedes-Benz AMG SL 63 Base,199985,All-wheel Drive,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,19
2019 Tesla Model S Performance,57995,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 GMC Savana 2500 Work Van,43028,Rear-wheel Drive,Gasoline,Automatic,4.3L V6 12V GDI OHV,37
2023 Mercedes-Benz AMG CLA 45 Base 4MATIC,70555,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,8
2023 Mercedes-Benz AMG GLE 53 Base,96195,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,6
2022 Lincoln Navigator Standard,84660,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,7
